PC,O,H,L,C
"14,085.55","14,110.00","14,211.90","14,009.60","14,100.00"
"1,105.20","1,109.90","1,117.90","1,088.35","1,100.60"
159.85,159.7,160.85,156.2,158.8
"2,083.55","2,085.00","2,100.00","2,055.40","2,091.65"
360.2,362.4,365,357.05,360.5
"1,547.65","1,545.00","1,556.00","1,528.55","1,540.50"
"1,403.25","1,405.00","1,415.00","1,394.00","1,402.00"
703.9,705,710,699.3,709.9
685.2,689,693.85,679.4,685.5
247.75,248.65,250.4,247.7,249
"1,514.25","1,523.70","1,534.30","1,467.05","1,474.00"
"1,113.65","1,111.00","1,118.70","1,092.60","1,094.25"
"1,374.10","1,374.55","1,384.00","1,331.00","1,356.00"
"1,716.40","1,718.00","1,729.80","1,700.80","Jan 29, 2018 -"
533.35,539,542.7,530.5,533.8
"1,165.95","1,169.00","1,177.00","1,164.65","1,176.70"
"1,837.65","1,836.00","1,848.50","1,756.00","1,803.10"
889.7,893,899,875,883
344,344.05,346.35,337,337.5
"6,924.75","6,924.75","6,971.00","6,840.95","6,941.00"
127.9,135,135.9,128.2,130
"1,425.75","1,440.00","1,449.60","1,417.50","1,426.80"
"1,759.05","1,766.50","1,778.25","1,719.40","1,739.00"
"1,760.60","1,751.20","1,762.80","1,747.83","Jan 29, 2018 -"
503.2,506.7,510,501,504.45
551.25,552.9,556.5,546.4,552.9
775.05,780,785.05,770.05,770.05
"3,022.65","3,025.50","3,045.00","3,004.30","3,043.00"
"1,115.95","1,127.70","1,134.95","1,102.00","1,122.15"
670.6,672,676.3,650.1,651.8
"1,710.70","1,718.00","1,728.85","1,687.60","1,719.10"
"1,434.85","1,434.85","1,443.90","1,408.00","1,416.00"
469.55,469,471.95,461,466.45
319.9,319,321,315.7,316.75
"1,151.85","1,145.75","1,152.90","1,114.35","1,116.30"
474.1,474.05,477,471,471.55
32.35,32.15,32.35,29.7,31.65
475.05,475.05,478,469.05,472.25
"1,305.60","1,313.70","1,321.80","1,306.00","1,313.50"
481.55,480,482.95,472,476
130.7,131,131.8,129.1,130.7
131.3,131,131.8,125.5,126
695.75,699.1,703.35,694.05,701.45
"2,312.65","2,314.90","2,328.85","2,251.00","2,267.75"
543.5,548.4,551.7,511.6,515.8
490.05,492,494.95,478,485.5
346.65,344.6,346.65,342,343.5
"1,623.85","1,624.00","1,633.65","1,600.00","1,618.00"
571.1,572.65,576.05,550,555.4
490.7,490.9,493.8,483.2,485.25
93.25,93.2,93.75,92.15,93
160.2,161.05,162,158.25,159.45
"1,699.80","1,708.20","1,718.20","1,690.00","Jan 29, 2018 -"
"1,727.00","1,730.00","1,740.00","1,715.60","Jan 29, 2018 -"
705.2,709.9,714,705,712.8
60.9,61.05,61.4,60.1,60.35
"2,548.15","2,549.90","2,564.40","2,524.00","2,526.15"
493.5,495.2,498,492.5,494.85
310.7,310.9,312.65,299,302.55
168.9,169.9,170.85,165.7,166.1
304.75,305.7,307.4,293.15,294.65
"3,140.90","3,140.90","3,158.35","3,110.00","3,124.50"
544.3,544,547,527,538
"1,460.00","1,460.00","1,468.00","1,422.20","1,428.15"
"1,715.35","1,718.25","1,727.55","1,701.75","1,717.00"
560.45,561,564,555,562.25
"1,561.55","1,568.10","1,576.35","1,556.00","1,561.20"
929,934,938.9,921.1,927
362.3,364,365.9,358.05,363.05
"1,578.90","1,581.65","1,589.80","1,535.90","1,551.00"
193.85,194.75,195.75,193,193.5
570.25,574.85,577.8,562.25,575
"1,175.40","1,176.00","1,182.00","1,170.05","1,178.00"
793.8,794,798.05,780,782
451.75,459.5,461.8,449.05,457
"1,357.45","1,365.00","1,371.70","1,342.00","1,357.70"
690.6,694.25,697.65,690.1,696.15
"1,735.95","1,738.00","1,746.50","1,717.45","1,730.00"
161.95,163.7,164.5,162.15,163.2
"2,591.20","2,607.30","2,619.95","2,553.00","2,582.00"
206.5,207,208,201.55,203.85
"3,120.35","3,120.00","3,135.00","3,060.00","3,110.00"
93.5,94,94.45,91.6,93.4
487.3,489.75,492.05,483.85,489.5
451.4,445,447,429.9,433.2
"1,044.80","1,050.80","1,055.45","1,029.20","1,035.10"
"3,195.55","3,203.00","3,217.15","3,126.00","3,142.10"
"1,174.80","1,179.70","1,184.90","1,141.20","1,147.60"
"14,562.70","14,635.50","14,700.00","14,574.00","14,699.00"
"1,575.20","1,575.00","1,581.85","1,541.00","1,550.00"
"1,837.25","1,840.00","1,848.00","1,817.00","1,840.90"
"2,037.75","2,044.00","2,052.85","2,017.05","2,026.00"
"8,812.55","8,811.95","8,850.00","8,685.00","8,730.95"
949.45,951.95,956,927,938
355.35,354.3,355.8,346.9,348
"1,642.70","1,645.00","1,651.95","1,626.80","1,645.75"
647.9,646.05,648.75,636.75,646
"1,377.65","1,388.00","1,393.80","1,361.25","1,363.35"
"1,701.75","1,701.00","1,708.00","1,680.65","1,685.60"
540.55,540,542.2,533,533
"2,188.95","2,206.00","2,214.90","2,152.50","2,195.00"
"1,723.50","1,727.90","1,734.85","1,711.00","1,719.00"
485.2,485.5,487.45,478.05,481
"1,731.40","1,732.00","1,738.90","1,698.60","1,706.10"
"1,542.25","1,539.40","1,545.50","1,508.10","1,509.00"
530.4,531.9,534,520,525
"1,683.95","1,685.00","1,691.45","1,632.45","1,638.00"
510.7,513.9,515.85,504.3,506.75
"1,548.65","1,558.25","1,564.10","1,530.50","1,533.10"
"1,392.70","1,393.75","1,398.95","1,371.00","1,377.80"
269.2,270.95,271.95,265.1,268.4
"1,363.00","1,365.00","1,370.00","1,314.15","1,339.10"
496.85,496.9,498.7,491,492.55
